Accession,Entry,Description,CON 1,CON 2,CON 3,CON 4,CON 5,CON 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,CONTROL,CV,% proteome,HCM,CV,% proteome,HCM to CONTROL ratio (%),Tissue,Ome,Species
ACS2L_HUMAN,Q9NUB1,Acetyl coenzyme A synthetase 2 like mitochondrial OS Homo sapiens GN ACSS1 PE 1 SV 2,20.8354,0,0,0,0,23.0414,0,0,0,0,0,0,0,0,0,7.9247,0,7.3128,141.6892153,#DIV/0!,0.720427273,316.227766,#DIV/0!,9.851592724,HEART,PROT,HUMAN
ACSL1_HUMAN,P33121,Long chain fatty acid CoA ligase 1 OS Homo sapiens GN ACSL1 PE 1 SV 1,9.5594,16.8325,0,12.9348,50.238,0,0,0,0,0,0,0,0,0,0,0,0,14.92745,113.7168259,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
ACTA_HUMAN,P62736,Actin aortic smooth muscle OS Homo sapiens GN ACTA2 PE 1 SV 1,94.8108,696.3682,981.4926,780.1021,770.4879,1108.0603,942.2881,1927.3336,1749.9416,444.7055,465.7472,3053.4081,3130.6564,0,904.0312,44.0652,1618.1303,738.55365,43.33092718,#DIV/0!,1298.209745,80.79732885,#DIV/0!,175.7773109,HEART,PROT,HUMAN
ACTB_HUMAN,P60709,Actin cytoplasmic 1 OS Homo sapiens GN ACTB PE 1 SV 1,104.5021,10.2917,263.5966,35.4572,48.2373,0,145.5235,8.7559,1.2886,0.4322,16.5245,14.7429,48.9243,77.3433,19.3983,0.37,0,77.01415,116.749475,#DIV/0!,30.30031818,142.1212284,#DIV/0!,39.34383251,HEART,PROT,HUMAN
ACTBL_HUMAN,Q562R1,Beta actin like protein 2 OS Homo sapiens GN ACTBL2 PE 1 SV 2,0,506.0467,19.6812,20.9291,481.0934,18.8904,0,0,42.0094,0,66.7572,0,917.6639,548.4316,0,11.0725,467.2462,174.4401333,129.4905678,#DIV/0!,186.6528,160.2641009,#DIV/0!,107.0010647,HEART,PROT,HUMAN
ACTBM_HUMAN,Q9BYX7,Putative beta actin like protein 3 OS Homo sapiens GN POTEKP PE 5 SV 1,0,0,0,0,0,155.6479,0,0,0,132.1578,0,0,0,0,0,0,47.9334,25.94131667,223.6067977,#DIV/0!,16.37192727,238.8088475,#DIV/0!,63.11139671,HEART,PROT,HUMAN
ACTC_HUMAN,P68032,Actin alpha cardiac muscle 1 OS Homo sapiens GN ACTC1 PE 1 SV 1,1869.1781,2742.9306,1976.1548,591.0112,2030.5417,426.2333,329.125,641.031,2892.234,312.6625,453.908,235.4949,1987.3567,3012.1288,192.0146,585.7408,403.3161,1606.008283,51.47908158,#DIV/0!,1004.092036,102.793323,#DIV/0!,62.52097494,HEART,PROT,HUMAN
ACTG_HUMAN,P63261,Actin cytoplasmic 2 OS Homo sapiens GN ACTG1 PE 1 SV 1,72.7675,19.8694,0,0,315.7915,38.2574,411.0882,0,2.3328,0,0,0,17.1229,0,0,0,0,74.44763333,148.7923261,#DIV/0!,39.14035455,300.7662414,#DIV/0!,52.57434359,HEART,PROT,HUMAN
ACTH_HUMAN,P63267,Actin gamma enteric smooth muscle OS Homo sapiens GN ACTG2 PE 1 SV 1,26.1191,0,64.335,38.5198,0,36.8934,0,203.9179,0,204.848,23.6381,35.7496,0,64.2676,294.4998,124.7848,70.7981,27.64455,81.96803753,#DIV/0!,92.9549,103.4811316,#DIV/0!,336.250364,HEART,PROT,HUMAN
ACTN1_HUMAN,P12814,Alpha actinin 1 OS Homo sapiens GN ACTN1 PE 1 SV 2,29.1316,10.5075,23.685,68.6723,23.1677,0,151.0578,105.0203,47.0722,9.2578,16.2947,82.6055,57.9956,55.3914,23.693,18.2248,58.5929,25.86068333,82.93542012,#DIV/0!,56.83690909,72.07955074,#DIV/0!,219.7811572,HEART,PROT,HUMAN
ACTN2_HUMAN,P35609,Alpha actinin 2 OS Homo sapiens GN ACTN2 PE 1 SV 1,148.2324,342.2241,242.2282,119.1476,231.2938,91.8776,736.8278,1197.3313,1182.072,68.6416,103.4224,1310.8716,873.6333,257.0067,441.9667,133.6136,437.5117,195.83395,43.62559541,#DIV/0!,612.9907909,73.09118554,#DIV/0!,313.0155884,HEART,PROT,HUMAN
ACTN3_HUMAN,Q08043,Alpha actinin 3 OS Homo sapiens GN ACTN3 PE 1 SV 2,3.4011,17.7502,10.9574,19.901,25.3749,0,24.595,17.4052,18.9359,4.4769,15.6019,16.8401,29.6792,30.8317,1.4404,22.6328,149.1678,12.89743333,69.96589671,#DIV/0!,30.14608182,128.1371434,#DIV/0!,233.7370626,HEART,PROT,HUMAN
ACTN4_HUMAN,O43707,Alpha actinin 4 OS Homo sapiens GN ACTN4 PE 1 SV 2,6.1841,19.1605,13.7638,13.634,18.983,4.4182,42.6604,23.4173,142.036,16.1821,6.6916,53.9685,32.4634,42.9392,15.7882,5.1286,33.213,12.6906,44.83705217,#DIV/0!,37.68075455,96.08689107,#DIV/0!,296.9186212,HEART,PROT,HUMAN
ACTS_HUMAN,P68133,Actin alpha skeletal muscle OS Homo sapiens GN ACTA1 PE 1 SV 1,41.3256,376.013,0,1.1753,792.8666,54.1086,34.207,924.6405,0,60.5485,31.5446,176.5299,667.4072,71.5957,1209.017,348.9508,2266.0215,210.91485,137.9247026,#DIV/0!,526.4057,128.2389309,#DIV/0!,249.5820944,HEART,PROT,HUMAN
ACTT3_HUMAN,Q9BYD9,Actin related protein T3 OS Homo sapiens GN ACTRT3 PE 2 SV 1,0,0,0,2.5088,0,0,0,0,0,0,0,0,0,4.1493,0,0,0,0.418133333,223.6067977,#DIV/0!,0.377209091,316.227766,#DIV/0!,90.21263335,HEART,PROT,HUMAN
ADH1B_HUMAN,P00325,Alcohol dehydrogenase 1B OS Homo sapiens GN ADH1B PE 1 SV 2,0,8.7527,0,0,17.2039,0,0,0,0,0,10.8728,0,0,0,0,0,0,4.3261,152.2506433,#DIV/0!,0.988436364,316.227766,#DIV/0!,22.84820886,HEART,PROT,HUMAN
ADHX_HUMAN,P11766,Alcohol dehydrogenase class 3 OS Homo sapiens GN ADH5 PE 1 SV 4,148.8566,32.774,25.4025,137.3579,85.454,119.2173,17.369,85.6768,4.5853,94.8459,48.8869,68.1819,24.8378,61.2196,20.2267,80.3548,21.5699,91.51038333,52.81446634,#DIV/0!,47.97769091,63.07381481,#DIV/0!,52.42868532,HEART,PROT,HUMAN
ADIPO_HUMAN,Q15848,Adiponectin OS Homo sapiens GN ADIPOQ PE 1 SV 1,0,0,0,0,0,0,0,0,0,6.7031,0,0,0,0,0,0,11.1892,0,#DIV/0!,#DIV/0!,1.626572727,220.1307526,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
ADT1_HUMAN,P12235,ADP ATP translocase 1 OS Homo sapiens GN SLC25A4 PE 1 SV 4,881.7924,952.9245,514.2112,1026.7747,1324.0045,778.0751,130.2335,161.0879,470.0732,348.3881,624.0031,429.3789,251.6501,48.5412,142.5927,279.8374,224.3603,912.9637333,26.89241392,#DIV/0!,282.7405818,57.85076081,#DIV/0!,30.9695305,HEART,PROT,HUMAN
ADT2_HUMAN,P05141,ADP ATP translocase 2 OS Homo sapiens GN SLC25A5 PE 1 SV 7,11.4713,29.2945,43.8318,13.0012,382.8019,13.2147,0,11.4073,16.4573,22.7953,34.078,29.0615,19.4005,18.0183,6.5727,19.4523,115.9233,82.26923333,163.9696986,#DIV/0!,26.6515,111.271731,#DIV/0!,32.39546416,HEART,PROT,HUMAN
ADT3_HUMAN,P12236,ADP ATP translocase 3 OS Homo sapiens GN SLC25A6 PE 1 SV 4,12.0554,77.2016,12.8148,23.5113,115.5134,17.0116,68.8494,22.0596,5.6946,11.0721,84.3249,39.3207,7.9077,32.4283,55.7538,2.9003,17.9906,43.01801667,91.77471129,#DIV/0!,31.66381818,82.82077541,#DIV/0!,73.60594615,HEART,PROT,HUMAN
ADT4_HUMAN,Q9H0C2,ADP ATP translocase 4 OS Homo sapiens GN SLC25A31 PE 1 SV 1,0,31.7301,4.6976,0,0,0,0,11.7631,0.4073,0,27.4405,0,0,0,22.2038,71.6181,6.5316,6.071283333,191.1040707,#DIV/0!,12.72403636,163.7513587,#DIV/0!,209.5773771,HEART,PROT,HUMAN
AES_HUMAN,Q08117,Amino terminal enhancer of split OS Homo sapiens GN AES PE 1 SV 4,0,0,0,0,0,0,2.6889,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.244445455,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
AFG32_HUMAN,Q9Y4W6,AFG3 like protein 2 OS Homo sapiens GN AFG3L2 PE 1 SV 2,0,0,0,7.053,6.2154,0,0,0,0,0,0,0,0,0,0,0,0,2.2114,141.8434072,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AGO1_HUMAN,Q9UL18,Protein argonaute 1 OS Homo sapiens GN EIF2C1 PE 1 SV 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6215,0,#DIV/0!,#DIV/0!,0.147409091,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
AGO4_HUMAN,Q9HCK5,Protein argonaute 4 OS Homo sapiens GN EIF2C4 PE 1 SV 2,0,0,0,0,64.7394,0,0,0,0,0,0,0,0,0,0,0,0,10.7899,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AGR3_HUMAN,Q8TD06,Anterior gradient protein 3 homolog OS Homo sapiens GN AGR3 PE 1 SV 1,0,0,0,0,0,15.4388,0,0,0,0,0,0,0,0,0,0,0,2.573133333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AIF1L_HUMAN,Q9BQI0,Allograft inflammatory factor 1 like OS Homo sapiens GN AIF1L PE 1 SV 1,0,2.6609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443483333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AIFM1_HUMAN,O95831,Apoptosis inducing factor 1 mitochondrial OS Homo sapiens GN AIFM1 PE 1 SV 1,9.2021,72.4767,43.6,71.6466,71.9328,28.4312,36.7239,44.2563,12.1131,6.7196,58.6324,38.6626,30.7417,0,20.1465,18.5506,33.4245,49.54823333,49.60264226,#DIV/0!,27.27010909,61.19845929,#DIV/0!,55.03750034,HEART,PROT,HUMAN
AINX_HUMAN,Q16352,Alpha internexin OS Homo sapiens GN INA PE 1 SV 2,10.9547,29.9791,0,0,2.4428,1.7062,0,7.3018,14.6462,0,0,0,0,0,11.9294,0,4.2704,7.5138,142.6063228,#DIV/0!,3.467981818,149.5995433,#DIV/0!,46.15483268,HEART,PROT,HUMAN
AIRE_HUMAN,O43918,Autoimmune regulator OS Homo sapiens GN AIRE PE 1 SV 1,0,0,0,0,0,0,11.6898,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1.062709091,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
AK1BF_HUMAN,C9JRZ8,Aldo keto reductase family 1 member B15 OS Homo sapiens GN AKR1B15 PE 2 SV 1,0,0,0,0,0,3.5866,0,0,0,0,0,0,0,5.1988,0,0,0,0.597766667,223.6067977,#DIV/0!,0.472618182,316.227766,#DIV/0!,79.06399071,HEART,PROT,HUMAN
AKA10_HUMAN,O43572,A kinase anchor protein 10 mitochondrial OS Homo sapiens GN AKAP10 PE 1 SV 2,0,0,0,4.4462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741033333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AKAP9_HUMAN,Q99996,A kinase anchor protein 9 OS Homo sapiens GN AKAP9 PE 1 SV 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7738,0,0,0,#DIV/0!,#DIV/0!,0.252163636,316.227766,#DIV/0!,#DIV/0!,HEART,PROT,HUMAN
AKND1_HUMAN,Q5T1N1,Protein AKNAD1 OS Homo sapiens GN AKNAD1 PE 2 SV 3,2.8471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474516667,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AKT3_HUMAN,Q9Y243,RAC gamma serine threonine protein kinase OS Homo sapiens GN AKT3 PE 1 SV 1,0,0,6.7391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123183333,223.6067977,#DIV/0!,0,#DIV/0!,#DIV/0!,0,HEART,PROT,HUMAN
AL4A1_HUMAN,P30038,Delta 1 pyrroline 5 carboxylate dehydrogenase mitochondrial OS Homo sapiens GN ALDH4A1 PE 1 SV 3,17.1993,0,8.2256,9.4632,0,8.2404,0,0,0,13.6537,9.6331,0,0,2.7384,4.3208,35.9873,12.2179,7.188083333,82.48437871,#DIV/0!,7.141018182,145.5796808,#DIV/0!,99.34523364,HEART,PROT,HUMAN
AL7A1_HUMAN,P49419,Alpha aminoadipic semialdehyde dehydrogenase OS Homo sapiens GN ALDH7A1 PE 1 SV 5,1.2206,0,0,0,0,6.1782,0,4.0723,0,0,0,0,0,0,0,0,0,1.233133333,182.9458804,#DIV/0!,0.370209091,316.227766,#DIV/0!,30.02182172,HEART,PROT,HUMAN
AL9A1_HUMAN,P49189,4 trimethylaminobutyraldehyde dehydrogenase OS Homo sapiens GN ALDH9A1 PE 1 SV 3,10.7151,0,3.8225,43.0168,87.3883,8.3278,0,0,0,39.9618,40.2296,0,0,0,0,6.2097,0,25.54508333,121.4027841,#DIV/0!,7.854645455,194.8000244,#DIV/0!,30.74816923,HEART,PROT,HUMAN
