Protein IDs,Protein names,Gene names,Razor + unique peptides WT_1,Razor + unique peptides WT_2,Razor + unique peptides WT_3,Razor + unique peptides WT_4,Razor + unique peptides ob_1,Razor + unique peptides ob_2,Razor + unique peptides ob_3,Razor + unique peptides ob_4,Unique peptides WT_1,Unique peptides WT_2,Unique peptides WT_3,Unique peptides WT_4,Unique peptides ob_1,Unique peptides ob_2,Unique peptides ob_3,Unique peptides ob_4,Identification type WT_1,Identification type WT_2,Identification type WT_3,Identification type WT_4,Identification type ob_1,Identification type ob_2,Identification type ob_3,Identification type ob_4,Sequence coverage WT_1 [%],Sequence coverage WT_2 [%],Sequence coverage WT_3 [%],Sequence coverage WT_4 [%],Sequence coverage ob_1 [%],Sequence coverage ob_2 [%],Sequence coverage ob_3 [%],Sequence coverage ob_4 [%],Intensity WT_1,Intensity WT_2,Intensity WT_3,Intensity WT_4,Intensity ob_1,Intensity ob_2,Intensity ob_3,Intensity ob_4
A0A087WPR9;Q6NS82-3;Q6NS82;Q6NS82-2;A0A087WRH7,Protein FAM134A,Fam134a,4,3,3,3,3,2,2,3,4,3,3,3,3,2,2,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.9,15.1,15.1,9.6,9.6,7.8,7.8,15.1,640220000,531560000,467840000,326930000,395310000,314540000,338310000,521740000
A0A087WPT7;Q6P549;A0A1B0GR64;A0A1B0GST7,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",Inppl1,5,7,5,4,5,5,8,8,4,6,4,3,4,4,6,7,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4.6,7.4,4.6,3.1,5.3,5.5,8.7,9,142870000,208330000,144270000,73366000,204190000,135090000,280500000,237060000
A0A087WQ61;A0A087WQU0;Q8C134;Q9ERD6-2;Q9ERD6-3;Q9ERD6-4;Q9ERD6;A0A087WPL3;A0A0A0MQE4;A2AR50-2;A2AR50-3;A2AR50,Ras-specific guanine nucleotide-releasing factor RalGPS2,Ralgps2,0,0,0,1,1,1,3,2,0,0,0,1,1,1,3,2,,,,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,0,0,0,3,2.6,1.7,7.3,7.1,0,0,0,7884700,33171000,34999000,65318000,45681000
A0A087WQ86;E9QM99;Q8BZN6-4;A0A087WRP5;Q8BZN6;Q8BZN6-2;Q8BZN6-3;A0A0R4J2B7;Q8BLX9;A0A087WQA1,Dedicator of cytokinesis protein 10,Dock10,0,3,1,0,2,0,2,2,0,3,1,0,2,0,2,2,,By MS/MS,By matching,,By MS/MS,,By MS/MS,By MS/MS,0,2,1,0,0.8,0,0.9,0.9,0,56105000,12245000,0,77040000,0,136640000,80776000
A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4,Transcription elongation factor B polypeptide 1,Tceb1,4,5,6,4,4,3,7,4,4,5,6,4,4,3,7,4,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,57.9,66.3,66.3,57.9,60,45.3,77.9,57.9,1888400000,4219300000,4968000000,515570000,1535600000,521400000,4087900000,2468300000
A0A087WQH8,,Slc35a4,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,By MS/MS,By MS/MS,By MS/MS,,,,By MS/MS,By MS/MS,21.4,21.4,21.4,0,0,0,21.4,21.4,126100000,160070000,143420000,0,0,0,106190000,145180000
A0A087WQI6,Glutathione S-transferase,Gsta3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.3,35.3,35.3,51.1,30.8,30.8,55.6,35.3,921130000,533110000,686650000,1308700000,1903800000,677350000,1328500000,521800000
A0A087WQN7;F8VQ87;P97789-3;P97789-2;P97789;A0A087WNV6,5-3 exoribonuclease 1,Xrn1,9,6,6,7,6,5,8,9,9,6,6,7,6,5,8,9,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,7.2,4.8,4.8,4.8,4.2,3.7,5.1,6.9,402530000,235070000,198270000,222280000,220080000,212180000,244270000,414560000
A0A087WQQ5;A0A087WS29;A0A087WP85;Q61595-5;A0A087WP48;A0A087WQD0;Q61595-3;Q61595-10,,Ktn1,39,40,39,29,26,22,34,37,0,0,0,0,0,0,0,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,36.6,38.7,37.9,23.2,22.7,19.4,31.9,36.5,3200600000,3553400000,3676400000,1548000000,2653400000,2771200000,3474300000,4120200000
A0A087WQS0;A0A1D5RM59;E9Q0S6;A0A087WQM0;A0A087WRU0;A0A087WQ94;Q9DBT6;A0A087WP40;A0A087WR29;A0A087WS32;A0A087WSC8;A0A087WRZ8;A0A087WPC7,,Tns1,33,34,31,28,29,24,30,33,29,30,27,25,25,22,27,30,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,24,24.6,23.2,18.4,21.2,16.8,23.3,25,4073100000,3518200000,3899500000,2479400000,3302400000,1551400000,3754500000,4121300000
A0A087WQS2;Q9CQC6;A0A087WPF9;A0A087WS48,Basic leucine zipper and W2 domain-containing protein 1,Bzw1,18,17,17,14,13,13,16,16,18,17,17,14,13,13,16,16,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,40.8,40.8,40.8,31.7,25.5,25.3,34.8,40.4,6110800000,8300300000,7916500000,2748300000,4607700000,2668400000,4372700000,8774300000
A0A087WQS3;Q8BRM2,RAB6-interacting golgin,Gorab,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,,,By MS/MS,,,,,By matching,0,0,12.4,0,0,0,0,12.4,0,0,32732000,0,0,0,0,31613000
A0A087WQT6;O89110,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,Casp8,17,18,18,8,12,6,17,16,17,18,18,8,12,6,17,16,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,45.8,48.2,48.2,19.4,27.2,12.2,42.8,41,3442700000,3492300000,3809800000,572770000,1936500000,492030000,2601300000,3754600000
A0A087WQW8,,Fn1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,By matching,By matching,21.9,21.9,28.8,21.9,21.2,21.2,21.9,28.8,82330000,190380000,99921000,28375000,0,0,53056000,107030000
A0A087WQY7;A2AMZ4,Uncharacterized protein C17orf89 homolog,1810043H04Rik,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,,By matching,By matching,By matching,By matching,By matching,By MS/MS,,0,16.3,16.3,16.3,16.3,16.3,16.3,0,0,43990000,35552000,22669000,30902000,13566000,58457000,0
A0A087WR50;P11276;Q3UHL6;A0A087WS56;Q4KL80;A0A087WS99;A0A087WSU6;A0A087WQE0,Fibronectin;Anastellin,Fn1,61,67,67,48,53,44,71,72,0,1,0,1,1,0,1,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,33.2,37.8,35.7,24.2,28.8,23,36.9,38.2,16077000000,17958000000,21793000000,9599400000,22324000000,15562000000,27717000000,29507000000
A0A087WR75;Q7TT18;A0A0N4SVP5;A0A087WR39;A0A087WQB3,Activating transcription factor 7-interacting protein 1,Atf7ip,2,2,3,1,1,2,2,2,2,2,3,1,1,2,2,2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,1.8,2.2,4.9,1.5,0.9,1.8,3.5,3.6,65723000,78358000,104020000,24483000,35289000,58556000,27766000,842580000
A0A087WRA4;D0QMC3;A0A087WSH9;A0A087WQG9;O35368-2;O35368;O35368-3,Myeloid cell nuclear differentiation antigen-like protein,Mndal,3,2,3,3,6,7,5,4,2,1,2,2,4,6,3,3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,11.5,7,11.5,7.2,16.9,18.8,13.6,9.7,196640000,149610000,275140000,102360000,318840000,238840000,407960000,90848000
A0A087WRA7,,Ppp1r7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By matching,By matching,By MS/MS,26,26,26,25.3,20.5,20.5,19.9,26,74089000,59112000,58393000,50238000,125120000,85464000,74991000,93190000
A0A087WRB7;E9PX43;Q7TQG1;A0A087WP13;A0A087WP37;A0A087WPX6;A0A1D5RME6,Pleckstrin homology domain-containing family A member 6,Plekha6,13,13,13,10,11,10,8,13,13,13,13,10,11,10,8,13,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.6,16.6,16.8,11.3,12.4,10.3,10.3,16.9,943160000,927690000,1044800000,417370000,549140000,445820000,257190000,612160000
A0A087WRE5;Q6P3D0;A0A087WSB5,U8 snoRNA-decapping enzyme,Nudt16,4,4,5,1,2,1,4,5,4,4,5,1,2,1,4,5,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,27.7,27.7,30.9,4.7,11,4.7,27.7,30.9,286980000,398540000,461800000,69590000,131730000,29873000,304710000,190050000
A0A087WRE7;Q8R0N6;Q8R0N6-2,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial",Adhfe1,14,13,12,9,10,10,13,13,14,13,12,9,10,10,13,13,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,41.1,36.5,36.5,25.2,28,27.6,39.8,37,8642000000,11931000000,8616300000,4006000000,4468900000,2050600000,4585800000,7873500000
A0A087WRF2;Q8BXK8;E9Q3K3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",Agap1,1,1,1,2,1,0,2,1,1,1,1,2,1,0,2,1,By MS/MS,By matching,By MS/MS,By matching,By MS/MS,,By MS/MS,By matching,3.4,4.6,3.4,4.4,3.4,0,4.4,4.6,14883000,16713000,21796000,32970000,15880000,0,25811000,20310000
A0A087WRH2;Q9WUD8;D3Z3C1;J3QPY3,Fas apoptotic inhibitory molecule 1,Faim,2,2,2,1,1,0,1,1,2,2,2,1,1,0,1,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,16.1,16.1,16.1,6.3,6.3,0,9.8,9.8,75527000,239070000,296970000,6593900,0,0,15951000,86581000
A0A087WRM0,,Cdv3,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,By MS/MS,By matching,By MS/MS,By matching,By matching,By matching,By MS/MS,By matching,72.7,53.2,72.7,20.1,39,39,53.9,72.7,34134000,0,29840000,0,0,0,18982000,19114000
A0A087WRX7;O35618;Q3UTC9;O35618-2,Protein Mdm4,Mdm4,0,2,1,0,1,2,0,0,0,2,1,0,1,2,0,0,,By MS/MS,By matching,,By MS/MS,By MS/MS,,,0,7.5,3.1,0,4.4,7.5,0,0,0,175180000,78847000,0,7871000,56008000,0,0
A0A087WRY3;Q80XU3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,Nucks1,5,6,6,4,3,6,7,6,5,6,6,4,3,6,7,6,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,27.5,32.2,32.2,23.6,20.2,30.9,37.3,32.2,2628000000,2504800000,2280400000,1009200000,2035300000,2355900000,1541800000,1870900000
A0A087WS07;Q8CIW6-3;Q8CIW6-2;Q8CIW6,Solute carrier family 26 member 6,Slc26a6,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,,,,By matching,By MS/MS,By matching,,,0,0,0,3,3,3,0,0,0,0,0,17475000,30045000,11502000,0,0
A0A087WS96;Q8BG73;A0A087WQU5,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,Sh3bgrl2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,2,By MS/MS,By MS/MS,By MS/MS,,,,By MS/MS,By MS/MS,34.2,34.2,34.2,0,0,0,34.2,34.2,214840000,344410000,340190000,0,0,0,256030000,534790000
A0A087WSH6;A0A087WRN5,,Gm13889,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,By MS/MS,,,,,0,0,0,11.4,0,0,0,0,0,0,0,9209800,0,0,0,0
A0A087WSK7;Q921I0,ORM1-like protein 1,Gm28778;Ormdl1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By MS/MS,11.2,11.2,11.2,11.2,11.2,11.2,6.4,11.2,178290000,122510000,143840000,324820000,182550000,147550000,0,169180000
A0A087WSN6;B9EHT6;B7ZNJ1,,Fn1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,35.5,39.7,38.1,25.6,30.4,24.9,38.7,40.6,48791000,45510000,30153000,52765000,41076000,69999000,43926000,26643000
A0A087WSR1;A0A087WNR1;E9Q917;G3UWF0;Q80XQ8,Myelin-associated neurite-outgrowth inhibitor,Fam168b,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,By MS/MS,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,,,25.7,25.7,25.7,25.7,25.7,25.7,0,0,59703000,68497000,53565000,4628500,11059000,8212900,0,0
