MitoPathway	MitoPathways Hierarchy	Genes			
Translation	Mitochondrial central dogma > Translation	"AARS2, AURKAIP1, C12orf65, CARS2, CHCHD1, COA3, COX14, DAP3, DARS2, DDX28, DHX30, EARS2, ERAL1, EXD2, FARS2, FASTKD2, GADD45GIP1, GARS1, GATB, GATC, GFM1, GFM2, GRSF1, GTPBP10, GUF1, HARS2, HEMK1, IARS2, KARS1, LARS2, LRPPRC, MALSU1, MARS2, METAP1D, METTL17, MIEF1, MPV17L2, MRM2, MRM3, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL4, MRPL40, MRPL41, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL55, MRPL57, MRPL58, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS36, MRPS5, MRPS6, MRPS7, MRPS9, MRRF, MTERF3, MTERF4, MTFMT, MTG1, MTG2, MTIF2, MTIF3, MTRES1, MTRF1, MTRF1L, NARS2, NGRN, NOA1, NSUN4, OXA1L, PARS2, PDF, PPA2, PTCD3, PUSL1, QRSL1, RARS2, RBFA, RMND1, SARS2, SLIRP, TACO1, TARS2, TFB1M, TIMM21, TRMT61B, TSFM, TUFM, VARS2, WARS2, YARS2, YBEY"			
Mitochondrial ribosome	Mitochondrial central dogma > Translation > Mitochondrial ribosome	"AURKAIP1, CHCHD1, DAP3, GADD45GIP1, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL4, MRPL40, MRPL41, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL55, MRPL57, MRPL58, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS36, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3"			
Mitochondrial ribosome assembly	Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly	"DDX28, DHX30, ERAL1, FASTKD2, GRSF1, GTPBP10, MALSU1, METTL17, MIEF1, MPV17L2, MRM2, MRM3, MTERF3, MTERF4, MTG1, MTG2, NGRN, NOA1, NSUN4, PTCD3, RBFA, TFB1M, TRMT61B, YBEY"			
Translation factors	Mitochondrial central dogma > Translation > Translation factors	"C12orf65, COA3, COX14, GFM1, GFM2, HEMK1, MRPL58, MRRF, MTIF2, MTIF3, MTRF1, MTRF1L, TACO1, TIMM21, TSFM, TUFM"			
mt-tRNA synthetases	Mitochondrial central dogma > Translation > mt-tRNA synthetases	"AARS2, CARS2, DARS2, EARS2, FARS2, GARS1, GATB, GATC, HARS2, IARS2, KARS1, LARS2, MARS2, NARS2, PARS2, QRSL1, RARS2, SARS2, TARS2, VARS2, WARS2, YARS2"			SQOR
fMet processing	Mitochondrial central dogma > Translation > fMet processing	"METAP1D, MTFMT, PDF"			
"Protein import, sorting and homeostasis"	"Protein import, sorting and homeostasis"	"AFG1L, AFG3L2, AGK, AIFM1, ATAD1, ATP23, CASP3, CASP8, CASP9, CHCHD4, CLPB, CLPP, CLPX, DNAJA3, DNAJC11, DNAJC15, DNAJC19, DNAJC4, DNLZ, FKBP10, GFER, GRPEL1, GRPEL2, HSPD1, HSPE1, HTRA2, IDE, IMMP1L, IMMP2L, LACTB, LAP3, LONP1, MAIP1, METAP1D, MIPEP, MTX1, MTX2, MUL1, NLN, NRDC, OMA1, OXA1L, PAM16, PARK7, PARL, PDF, PHB, PHB2, PITRM1, PMPCA, PMPCB, PRSS35, ROMO1, SAMM50, SPG7, STOML2, TIMM10, TIMM10B, TIMM13, TIMM17A, TIMM17B, TIMM21, TIMM22, TIMM23, TIMM29, TIMM44, TIMM50, TIMM8A, TIMM8B, TIMM9, TOMM20, TOMM20L, TOMM22, TOMM34, TOMM40, TOMM40L, TOMM5, TOMM6, TOMM7, TOMM70, TRAP1, UQCRC1, UQCRC2, USP30, XPNPEP3, YME1L1"			
Protein import and sorting	"Protein import, sorting and homeostasis > Protein import and sorting"	"AGK, AIFM1, CHCHD4, DNAJC11, DNAJC15, DNAJC19, GFER, GRPEL1, GRPEL2, IMMP1L, IMMP2L, MIPEP, MTX1, MTX2, NRDC, OXA1L, PAM16, PMPCA, PMPCB, ROMO1, SAMM50, TIMM10, TIMM10B, TIMM13, TIMM17A, TIMM17B, TIMM21, TIMM22, TIMM23, TIMM29, TIMM44, TIMM50, TIMM8A, TIMM8B, TIMM9, TOMM20, TOMM20L, TOMM22, TOMM34, TOMM40, TOMM40L, TOMM5, TOMM6, TOMM7, TOMM70, UQCRC1, UQCRC2, XPNPEP3"			
TOM	"Protein import, sorting and homeostasis > Protein import and sorting > TOM"	"TOMM20, TOMM22, TOMM34, TOMM40, TOMM40L, TOMM5, TOMM6, TOMM7, TOMM70"			
SAM	"Protein import, sorting and homeostasis > Protein import and sorting > SAM"	"MTX1, MTX2, SAMM50"			
MIA40	"Protein import, sorting and homeostasis > Protein import and sorting > MIA40"	"AIFM1, CHCHD4, GFER"			
TIM22 carrier pathway	"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"	"AGK, TIMM22, TIMM29"			
TIM23 presequence pathway	"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"	"ROMO1, TIMM17A, TIMM17B, TIMM21, TIMM23, TIMM50"			
Import motor	"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"	"DNAJC15, DNAJC19, GRPEL1, GRPEL2, PAM16, TIMM44"			
OXA	"Protein import, sorting and homeostasis > Protein import and sorting > OXA"	OXA1L			
Preprotein cleavage	"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage"	"IMMP1L, IMMP2L, MIPEP, PMPCA, PMPCB, UQCRC1, UQCRC2, XPNPEP3"			
Protein homeostasis	"Protein import, sorting and homeostasis > Protein homeostasis"	"AFG1L, AFG3L2, ATAD1, ATP23, CASP3, CASP8, CASP9, CLPB, CLPP, CLPX, DNAJA3, DNAJC4, DNLZ, FKBP10, HSPD1, HSPE1, HTRA2, IDE, IMMP1L, IMMP2L, LACTB, LAP3, LONP1, MAIP1, METAP1D, MIPEP, MUL1, NLN, NRDC, OMA1, PARK7, PARL, PDF, PHB, PHB2, PITRM1, PMPCA, PMPCB, PRSS35, SPG7, STOML2, TIMM10, TIMM10B, TIMM13, TIMM8A, TIMM8B, TIMM9, TRAP1, USP30, XPNPEP3, YME1L1"			
Proteases	"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	"AFG1L, AFG3L2, ATAD1, ATP23, CASP3, CASP9, CLPB, CLPP, CLPX, HTRA2, IDE, IMMP1L, IMMP2L, LACTB, LAP3, LONP1, METAP1D, MIPEP, NLN, OMA1, PARL, PITRM1, PMPCA, PMPCB, SPG7, USP30, XPNPEP3, YME1L1"			
Chaperones	"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"	"DNAJA3, DNLZ, FKBP10, HSPD1, HSPE1, MAIP1, NRDC, PHB, PHB2, TIMM10, TIMM10B, TIMM13, TIMM8A, TIMM8B, TIMM9, TRAP1"			
OXPHOS	OXPHOS	"ACAD9, AIFM1, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5IF1, ATP5MC1, ATP5MC2, ATP5MC3, ATP5MD, ATP5ME, ATP5MF, ATP5MG, ATP5MPL, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATPAF1, ATPAF2, ATPSCKMT, BCS1L, CEP89, CMC1, CMC2, COA1, COA3, COA4, COA5, COA6, COA7, COA8, COX10, COX11, COX14, COX15, COX16, COX17, COX18, COX19, COX20, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, CYC1, CYCS, DMAC1, DMAC2, DMAC2L, ECSIT, FMC1, FOXRED1, HCCS, HIGD1A, HIGD2A, LYRM2, LYRM7, MT-ATP6, MT-ATP8, MT-CO1, MT-CO2, MT-CO3, MT-CYB, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFAF8, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, NUBPL, PET100, PET117, PNKD, RAB5IF, SCO1, SCO2, SDHA, SDHAF1, SDHAF2, SDHAF3, SDHAF4, SDHB, SDHC, SDHD, SMIM20, SURF1, TACO1, TIMM21, TIMMDC1, TMEM126A, TMEM126B, TMEM177, TMEM186, TMEM70, TTC19, UQCC1, UQCC2, UQCC3, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRQ"			
OXPHOS subunits	OXPHOS > OXPHOS subunits	"ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5IF1, ATP5MC1, ATP5MC2, ATP5MC3, ATP5MD, ATP5ME, ATP5MF, ATP5MG, ATP5MPL, ATP5PB, ATP5PD, ATP5PF, ATP5PO, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, CYC1, CYCS, DMAC2L, HCCS, MT-ATP6, MT-ATP8, MT-CO1, MT-CO2, MT-CO3, MT-CYB, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, SDHA, SDHB, SDHC, SDHD, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRQ"			
OXPHOS assembly factors	OXPHOS > OXPHOS assembly factors	"ACAD9, AIFM1, ATPAF1, ATPAF2, ATPSCKMT, BCS1L, CEP89, CMC1, CMC2, COA1, COA3, COA4, COA5, COA6, COA7, COA8, COX10, COX11, COX14, COX15, COX16, COX17, COX18, COX19, COX20, COX7A2L, DMAC1, DMAC2, ECSIT, FMC1, FOXRED1, HIGD1A, HIGD2A, LYRM2, LYRM7, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFAF8, NUBPL, PET100, PET117, PNKD, RAB5IF, SCO1, SCO2, SDHAF1, SDHAF2, SDHAF3, SDHAF4, SMIM20, SURF1, TACO1, TIMM21, TIMMDC1, TMEM126A, TMEM126B, TMEM177, TMEM186, TMEM70, TTC19, UQCC1, UQCC2, UQCC3"			
Complex I	OXPHOS > Complex I	"ACAD9, AIFM1, COA1, DMAC1, DMAC2, ECSIT, FOXRED1, LYRM2, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFAF8, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, NUBPL, TIMMDC1, TMEM126A, TMEM126B, TMEM186, TMEM70"			
CI subunits	OXPHOS > Complex I > CI subunits	"MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND4L, MT-ND5, MT-ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3"			
CI assembly factors	OXPHOS > Complex I > CI assembly factors	"ACAD9, AIFM1, COA1, DMAC1, DMAC2, ECSIT, FOXRED1, LYRM2, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFAF8, NUBPL, TIMMDC1, TMEM126A, TMEM126B, TMEM186, TMEM70"			
Complex II	OXPHOS > Complex II	"SDHA, SDHAF1, SDHAF2, SDHAF3, SDHAF4, SDHB, SDHC, SDHD"			
CII subunits	OXPHOS > Complex II > CII subunits	"SDHA, SDHB, SDHC, SDHD"			
CII assembly factors	OXPHOS > Complex II > CII assembly factors	"SDHAF1, SDHAF2, SDHAF3, SDHAF4"			
Complex III	OXPHOS > Complex III	"BCS1L, CYC1, LYRM7, MT-CYB, TTC19, UQCC1, UQCC2, UQCC3, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRQ"			
CIII subunits	OXPHOS > Complex III > CIII subunits	"CYC1, MT-CYB, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRQ"			
CIII assembly factors	OXPHOS > Complex III > CIII assembly factors	"BCS1L, LYRM7, TTC19, UQCC1, UQCC2, UQCC3"			
Complex IV	OXPHOS > Complex IV	"CEP89, CMC1, CMC2, COA1, COA3, COA4, COA5, COA6, COA7, COA8, COX10, COX11, COX14, COX15, COX16, COX17, COX18, COX19, COX20, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, HIGD1A, MT-CO1, MT-CO2, MT-CO3, NDUFA4, PET100, PET117, PNKD, SCO1, SCO2, SMIM20, SURF1, TACO1, TIMM21, TMEM177"			
CIV subunits	OXPHOS > Complex IV > CIV subunits	"COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, MT-CO1, MT-CO2, MT-CO3, NDUFA4"			
CIV assembly factors	OXPHOS > Complex IV > CIV assembly factors	"CEP89, CMC1, CMC2, COA1, COA3, COA4, COA5, COA6, COA7, COA8, COX10, COX11, COX14, COX15, COX16, COX17, COX18, COX19, COX20, HIGD1A, PET100, PET117, PNKD, SCO1, SCO2, SMIM20, SURF1, TACO1, TIMM21, TMEM177"			
Complex V	OXPHOS > Complex V	"ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5IF1, ATP5MC1, ATP5MC2, ATP5MC3, ATP5MD, ATP5ME, ATP5MF, ATP5MG, ATP5MPL, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATPAF1, ATPAF2, ATPSCKMT, DMAC2L, FMC1, MT-ATP6, MT-ATP8, TMEM70"			
CV subunits	OXPHOS > Complex V > CV subunits	"ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5IF1, ATP5MC1, ATP5MC2, ATP5MC3, ATP5MD, ATP5ME, ATP5MF, ATP5MG, ATP5MPL, ATP5PB, ATP5PD, ATP5PF, ATP5PO, DMAC2L, MT-ATP6, MT-ATP8"			
CV assembly factors	OXPHOS > Complex V > CV assembly factors	"ATPAF1, ATPAF2, ATPSCKMT, FMC1, TMEM70"			
Respirasome assembly	OXPHOS > Respirasome assembly	"COX7A2L, HIGD1A, HIGD2A, RAB5IF"			
Cytochrome C	OXPHOS > Cytochrome C	"CYCS, HCCS"			
